position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
4,5,32,6,5,60,after_walk_step_5,0.75,24,0.4833333333333023,0.7249999999999535,1.154205922110251e-30,8
4,5,32,6,6,72,after_walk_step_6,0.625,20,0.24999999999998052,0.3749999999999708,7.313988133326307e-31,12
4,5,32,8,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,8,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,8,3,36,after_walk_step_3,0.84375,27,0.4999999999999811,0.7499999999999717,1.5841552697283766e-30,5
4,5,32,8,4,48,after_walk_step_4,0.75,24,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,8
4,5,32,8,5,60,after_walk_step_5,0.75,24,0.4833333333333023,0.7249999999999535,1.154205922110251e-30,8
4,5,32,8,6,72,after_walk_step_6,0.625,20,0.24999999999998052,0.3749999999999708,7.313988133326307e-31,12
4,5,32,8,7,84,after_walk_step_7,0.59375,19,0.20208333333331494,0.30312499999997244,1.2630425363231228e-30,13
4,5,32,8,8,96,after_walk_step_8,0.5,16,0.13333333333331945,0.1999999999999792,0.0,16
4,5,32,10,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,10,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,10,3,36,after_walk_step_3,0.84375,27,0.4999999999999811,0.7499999999999717,1.5841552697283766e-30,5
4,5,32,10,4,48,after_walk_step_4,0.75,24,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,8
4,5,32,10,5,60,after_walk_step_5,0.75,24,0.4833333333333023,0.7249999999999535,1.154205922110251e-30,8
4,5,32,10,6,72,after_walk_step_6,0.625,20,0.24999999999998052,0.3749999999999708,7.313988133326307e-31,12
4,5,32,10,7,84,after_walk_step_7,0.59375,19,0.20208333333331494,0.30312499999997244,1.2630425363231228e-30,13
4,5,32,10,8,96,after_walk_step_8,0.5,16,0.13333333333331945,0.1999999999999792,0.0,16
4,5,32,10,9,108,after_walk_step_9,0.59375,19,0.24374999999997118,0.3656249999999568,3.2747961684274276e-30,13
4,5,32,10,10,120,after_walk_step_10,0.5625,18,0.17708333333331008,0.26562499999996514,8.298822662319831e-31,14
4,5,32,12,1,12,after_walk_step_1,0.9375,30,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,2
4,5,32,12,2,24,after_walk_step_2,0.875,28,0.53333333333332,0.7999999999999801,5.984576974774161e-31,4
4,5,32,12,3,36,after_walk_step_3,0.84375,27,0.4999999999999811,0.7499999999999717,1.5841552697283766e-30,5
4,5,32,12,4,48,after_walk_step_4,0.75,24,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,8
4,5,32,12,5,60,after_walk_step_5,0.75,24,0.4833333333333023,0.7249999999999535,1.154205922110251e-30,8
