position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cost,benefit_cost_score,runtime_seconds,status,error_message,strategy
6,7,128,6,1,16,after_walk_step_1,0.16666666666666666,simplified_boolean,128,126,0.984375,0.984375,0.91875,2131.0,2810.0,998.0,5806.0,2728.0,7606.0,1186.0,184.0,1318.0,0.258639984129686,3.8059660547551672,0.09635291700000082,ok,,balanced_proxy
6,7,128,6,5,80,after_walk_step_5,0.8333333333333334,simplified_boolean,128,120,0.9375,0.9375,0.875,1662.0,2121.0,800.0,5197.0,2474.0,6763.0,577.0,-70.0,475.0,0.15406697839903946,6.085015814172967,0.06291433299999838,ok,,cost_benefit
6,7,128,6,1,16,after_walk_step_1,0.16666666666666666,simplified_boolean,128,126,0.984375,0.984375,0.91875,2131.0,2810.0,998.0,5806.0,2728.0,7606.0,1186.0,184.0,1318.0,0.258639984129686,3.8059660547551672,0.09635291700000082,ok,,early_checkpoint
6,7,128,6,6,96,after_walk_step_6,1.0,simplified_boolean,128,116,0.90625,0.90625,0.8458333333333333,2416.0,3168.0,1170.0,6013.0,2872.0,7892.0,1393.0,328.0,1604.0,0.3114209210061147,2.910048551241058,0.0796262919999986,ok,,late_checkpoint
6,7,128,8,1,16,after_walk_step_1,0.125,simplified_boolean,128,126,0.984375,0.984375,0.93515625,2131.0,2810.0,998.0,7010.0,3296.0,9202.0,850.0,-96.0,818.0,0.157716408909157,6.241424128335243,0.0901026250000001,ok,,max_sparsity
6,7,128,8,8,128,after_walk_step_8,1.0,simplified_boolean,128,112,0.875,0.875,0.83125,1519.0,1974.0,744.0,6303.0,3010.0,8282.0,143.0,-382.0,-102.0,0.08622091966557616,10.148349187109694,0.07278383299999902,ok,,min_oracle_cost
6,7,128,8,1,16,after_walk_step_1,0.125,simplified_boolean,128,126,0.984375,0.984375,0.93515625,2131.0,2810.0,998.0,7010.0,3296.0,9202.0,850.0,-96.0,818.0,0.157716408909157,6.241424128335243,0.0901026250000001,ok,,balanced_proxy
6,7,128,8,8,128,after_walk_step_8,1.0,simplified_boolean,128,112,0.875,0.875,0.83125,1519.0,1974.0,744.0,6303.0,3010.0,8282.0,143.0,-382.0,-102.0,0.08622091966557616,10.148349187109694,0.07278383299999902,ok,,cost_benefit
6,7,128,8,1,16,after_walk_step_1,0.125,simplified_boolean,128,126,0.984375,0.984375,0.93515625,2131.0,2810.0,998.0,7010.0,3296.0,9202.0,850.0,-96.0,818.0,0.157716408909157,6.241424128335243,0.0901026250000001,ok,,early_checkpoint
6,7,128,8,8,128,after_walk_step_8,1.0,simplified_boolean,128,112,0.875,0.875,0.83125,1519.0,1974.0,744.0,6303.0,3010.0,8282.0,143.0,-382.0,-102.0,0.08622091966557616,10.148349187109694,0.07278383299999902,ok,,late_checkpoint
6,7,128,10,1,16,after_walk_step_1,0.1,simplified_boolean,128,126,0.984375,0.984375,0.945,2131.0,2810.0,998.0,8214.0,3864.0,10798.0,514.0,-376.0,318.0,0.11162767258187105,8.818377891718832,0.10137804200000033,ok,,max_sparsity
6,7,128,10,8,128,after_walk_step_8,0.8,simplified_boolean,128,112,0.875,0.875,0.84,1519.0,1974.0,744.0,7509.0,3578.0,9878.0,-191.0,-662.0,-602.0,0.06278625954198473,13.936170212765958,0.08524804199999991,ok,,min_oracle_cost
6,7,128,10,1,16,after_walk_step_1,0.1,simplified_boolean,128,126,0.984375,0.984375,0.945,2131.0,2810.0,998.0,8214.0,3864.0,10798.0,514.0,-376.0,318.0,0.11162767258187105,8.818377891718832,0.10137804200000033,ok,,balanced_proxy
6,7,128,10,8,128,after_walk_step_8,0.8,simplified_boolean,128,112,0.875,0.875,0.84,1519.0,1974.0,744.0,7509.0,3578.0,9878.0,-191.0,-662.0,-602.0,0.06278625954198473,13.936170212765958,0.08524804199999991,ok,,cost_benefit
6,7,128,10,1,16,after_walk_step_1,0.1,simplified_boolean,128,126,0.984375,0.984375,0.945,2131.0,2810.0,998.0,8214.0,3864.0,10798.0,514.0,-376.0,318.0,0.11162767258187105,8.818377891718832,0.10137804200000033,ok,,early_checkpoint
6,7,128,10,10,160,after_walk_step_10,1.0,simplified_boolean,128,110,0.859375,0.859375,0.825,2557.0,3201.0,1248.0,8515.0,4074.0,11061.0,815.0,-166.0,581.0,0.13709436238062192,6.268492628559549,0.0976617080000004,ok,,late_checkpoint
6,7,128,12,1,16,after_walk_step_1,0.08333333333333333,simplified_boolean,128,126,0.984375,0.984375,0.9515625,2131.0,2810.0,998.0,9418.0,4432.0,12394.0,178.0,-656.0,-182.0,0.08090184836368043,12.167521755187972,0.1132020830000009,ok,,max_sparsity
6,7,128,12,8,128,after_walk_step_8,0.6666666666666666,simplified_boolean,128,112,0.875,0.875,0.8458333333333333,1519.0,1974.0,744.0,8713.0,4146.0,11474.0,-527.0,-942.0,-1102.0,0.05232188295165394,16.72340425531915,0.09565541699999969,ok,,min_oracle_cost
6,7,128,12,1,16,after_walk_step_1,0.08333333333333333,simplified_boolean,128,126,0.984375,0.984375,0.9515625,2131.0,2810.0,998.0,9418.0,4432.0,12394.0,178.0,-656.0,-182.0,0.08090184836368043,12.167521755187972,0.1132020830000009,ok,,balanced_proxy
6,7,128,12,8,128,after_walk_step_8,0.6666666666666666,simplified_boolean,128,112,0.875,0.875,0.8458333333333333,1519.0,1974.0,744.0,8713.0,4146.0,11474.0,-527.0,-942.0,-1102.0,0.05232188295165394,16.72340425531915,0.09565541699999969,ok,,cost_benefit
6,7,128,12,1,16,after_walk_step_1,0.08333333333333333,simplified_boolean,128,126,0.984375,0.984375,0.9515625,2131.0,2810.0,998.0,9418.0,4432.0,12394.0,178.0,-656.0,-182.0,0.08090184836368043,12.167521755187972,0.1132020830000009,ok,,early_checkpoint
6,7,128,12,12,192,after_walk_step_12,1.0,simplified_boolean,128,104,0.8125,0.8125,0.7854166666666667,1582.0,2084.0,775.0,8765.0,4167.0,11570.0,-475.0,-921.0,-1006.0,0.05523748939779474,14.709213051823417,0.11629837499999951,ok,,late_checkpoint
