position_qubits,total_qubits,basis_states,steps,strategy,checkpoint_step,checkpoint,label,oracle_method,coverage,fault_sensitive_detection,bit_flip_detection,phase_detection,oracle_gate_count,asserted_cx_overhead,normalized_cx_overhead,normalized_cost,TP,TN,FP,FN,Detection Rate,Support-Level FPR,Post-selected Support-Valid Rate
4,5,32,10,min_cost,2,24,after_walk_step_2,simplified_boolean,0.875,0.53333333333332,0.7999999999999801,5.984576974774161e-31,402,0,0.0,0.0668126216291353,12,44,11,33,0.2666666666666666,0.2,0.5714285714285714
4,5,32,10,max_coverage,1,12,after_walk_step_1,simplified_boolean,0.9375,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,391,8,0.0071428571428571,0.0821777738062141,5,55,4,36,0.1219512195121951,0.0677966101694915,0.6043956043956044
4,5,32,10,max_fault_sensitivity,1,12,after_walk_step_1,simplified_boolean,0.9375,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,391,8,0.0071428571428571,0.0821777738062141,5,55,4,36,0.1219512195121951,0.0677966101694915,0.6043956043956044
4,5,32,10,best_detection_cost_proxy,8,96,after_walk_step_8,simplified_boolean,0.5,0.1333333333333194,0.1999999999999792,0.0,1,0,0.0,0.0001262626262626,24,55,4,17,0.5853658536585366,0.0677966101694915,0.7638888888888888
4,5,32,10,late_checkpoint,10,120,after_walk_step_10,simplified_boolean,0.5625,0.17708333333331,0.2656249999999651,8.298822662319831e-31,175,0,0.0,0.0220959595959595,41,59,0,0,1.0,0.0,1.0
5,6,64,6,min_cost,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0783201840894148,14,47,6,33,0.2978723404255319,0.1132075471698113,0.5875
5,6,64,6,max_coverage,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0783201840894148,14,47,6,33,0.2978723404255319,0.1132075471698113,0.5875
5,6,64,6,max_fault_sensitivity,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0783201840894148,14,47,6,33,0.2978723404255319,0.1132075471698113,0.5875
5,6,64,6,best_detection_cost_proxy,5,70,after_walk_step_5,simplified_boolean,0.875,0.5277777777777006,0.7916666666665509,1.0250488180067757e-29,680,0,0.0,0.0558842866535174,46,44,7,3,0.9387755102040816,0.1372549019607843,0.9361702127659576
5,6,64,6,late_checkpoint,6,84,after_walk_step_6,simplified_boolean,0.8125,0.4027777777777062,0.6041666666665594,1.086577650132294e-29,1023,0,0.0,0.0840729783037475,50,50,0,0,1.0,0.0,1.0
5,6,64,8,min_cost,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0587401380670611,13,32,15,40,0.2452830188679245,0.3191489361702128,0.4444444444444444
5,6,64,8,max_coverage,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0587401380670611,13,32,15,40,0.2452830188679245,0.3191489361702128,0.4444444444444444
5,6,64,8,max_fault_sensitivity,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0587401380670611,13,32,15,40,0.2452830188679245,0.3191489361702128,0.4444444444444444
5,6,64,8,best_detection_cost_proxy,8,112,after_walk_step_8,simplified_boolean,0.75,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,347,0,0.0,0.0213880670611439,58,42,0,0,1.0,0.0,1.0
5,6,64,8,late_checkpoint,8,112,after_walk_step_8,simplified_boolean,0.75,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,347,0,0.0,0.0213880670611439,58,42,0,0,1.0,0.0,1.0
5,6,64,10,min_cost,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0469921104536489,11,39,3,47,0.1896551724137931,0.0714285714285714,0.4534883720930232
5,6,64,10,max_coverage,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0469921104536489,11,39,3,47,0.1896551724137931,0.0714285714285714,0.4534883720930232
5,6,64,10,max_fault_sensitivity,1,14,after_walk_step_1,simplified_boolean,0.96875,0.6666666666666488,0.999999999999973,1.1923219901574481e-30,953,0,0.0,0.0469921104536489,11,39,3,47,0.1896551724137931,0.0714285714285714,0.4534883720930232
5,6,64,10,best_detection_cost_proxy,8,112,after_walk_step_8,simplified_boolean,0.75,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,347,0,0.0,0.0171104536489151,50,26,12,12,0.8064516129032258,0.3157894736842105,0.6842105263157895
5,6,64,10,late_checkpoint,10,140,after_walk_step_10,simplified_boolean,0.71875,0.3287760416665681,0.4931640624998522,1.4195888814967472e-29,923,0,0.0,0.0455128205128205,63,37,0,0,1.0,0.0,1.0
