position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message
2,3,8,10,7,56,after_walk_step_7,0.7,simplified_boolean,8,6,0.75,0.75,0.74625,0.444444444444444,0.666666666666666,9.744706808328948e-34,9,230,120,310,13.0,17.0,7.0,243.0,127.0,327.0,13.0,7.0,17.0,0.058333333333333334,0.05656459404706249,13.259177629313314,7.857290447000474,0.010058833999210037,ok,
2,3,8,10,8,64,after_walk_step_8,0.8,minterm,8,7,0.875,0.875,0.870625,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,9,230,120,310,190.0,217.0,98.0,420.0,218.0,527.0,190.0,98.0,217.0,0.8166666666666667,0.7809178743961352,1.1204763377667801,0.853696257346117,0.013848000002326444,ok,
2,3,8,10,8,64,after_walk_step_8,0.8,simplified_boolean,8,7,0.875,0.875,0.870625,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,9,230,120,310,61.0,74.0,35.0,291.0,155.0,384.0,61.0,35.0,74.0,0.2916666666666667,0.2651979117967898,3.2994226616327067,2.5138458374344395,0.011214541998924688,ok,
2,3,8,10,9,72,after_walk_step_9,0.9,minterm,8,6,0.75,0.75,0.74625,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,9,230,120,310,161.0,186.0,84.0,391.0,204.0,496.0,161.0,84.0,186.0,0.7,0.6666666666666666,1.125,0.9999999999999984,0.013127166996127926,ok,
2,3,8,10,9,72,after_walk_step_9,0.9,simplified_boolean,8,6,0.75,0.75,0.74625,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,9,230,120,310,20.0,29.0,12.0,250.0,132.0,339.0,20.0,12.0,29.0,0.1,0.09350163627863488,8.02125,7.129999999999988,0.010121415994944982,ok,
2,3,8,10,10,80,after_walk_step_10,1.0,minterm,8,4,0.5,0.5,0.4975,0.22222222222222188,0.3333333333333328,0.0,9,230,120,310,109.0,124.0,56.0,339.0,176.0,434.0,109.0,56.0,124.0,0.4666666666666667,0.44685990338164255,1.1189189189189188,0.4972972972972965,0.012273499989532866,ok,
2,3,8,10,10,80,after_walk_step_10,1.0,simplified_boolean,8,4,0.5,0.5,0.4975,0.22222222222222188,0.3333333333333328,0.0,9,230,120,310,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.008333333333333333,0.00530232195730092,94.29831006612783,41.910360029390084,0.009050958004081622,ok,
2,3,8,12,1,8,after_walk_step_1,0.08333333333333333,minterm,8,6,0.75,0.75,0.746875,0.6666666666666665,0.9999999999999997,0.0,9,276,144,372,161.0,186.0,84.0,437.0,228.0,558.0,161.0,84.0,186.0,0.5833333333333334,0.5555555555555557,1.3499999999999996,1.1999999999999995,0.013545666995923966,ok,
2,3,8,12,1,8,after_walk_step_1,0.08333333333333333,simplified_boolean,8,6,0.75,0.75,0.746875,0.6666666666666665,0.9999999999999997,0.0,9,276,144,372,20.0,29.0,12.0,296.0,156.0,401.0,20.0,12.0,29.0,0.08333333333333333,0.07791803023219573,9.625499999999999,8.555999999999997,0.010490582993952557,ok,
2,3,8,12,2,16,after_walk_step_2,0.16666666666666666,minterm,8,4,0.5,0.5,0.4979166666666667,0.22222222222222213,0.3333333333333332,0.0,9,276,144,372,109.0,124.0,56.0,385.0,200.0,496.0,109.0,56.0,124.0,0.3888888888888889,0.37238325281803536,1.342702702702703,0.5967567567567567,0.013161167007638142,ok,
2,3,8,12,2,16,after_walk_step_2,0.16666666666666666,simplified_boolean,8,4,0.5,0.5,0.4979166666666667,0.22222222222222213,0.3333333333333332,0.0,9,276,144,372,1.0,1.0,1.0,277.0,145.0,373.0,1.0,1.0,1.0,0.006944444444444444,0.004418601631084099,113.15797207935343,50.29243203526816,0.00950712499616202,ok,
2,3,8,12,3,24,after_walk_step_3,0.25,minterm,8,6,0.75,0.75,0.746875,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,276,144,372,163.0,188.0,84.0,439.0,228.0,560.0,163.0,84.0,188.0,0.5833333333333334,0.5597631291880941,1.3398524498886415,0.7939866369710464,0.013541666005039588,ok,
2,3,8,12,3,24,after_walk_step_3,0.25,simplified_boolean,8,6,0.75,0.75,0.746875,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,9,276,144,372,12.0,16.0,6.0,288.0,150.0,388.0,12.0,6.0,16.0,0.041666666666666664,0.042718560074801314,17.556771545827633,10.404012767897852,0.010573749998002313,ok,
2,3,8,12,4,32,after_walk_step_4,0.3333333333333333,minterm,8,7,0.875,0.875,0.8713541666666667,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,276,144,372,189.0,217.0,98.0,465.0,242.0,589.0,189.0,98.0,217.0,0.6805555555555556,0.6495571658615137,1.3470715835140998,1.0263402541059803,0.03543416698812507,ok,
2,3,8,12,4,32,after_walk_step_4,0.3333333333333333,simplified_boolean,8,7,0.875,0.875,0.8713541666666667,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,276,144,372,50.0,58.0,27.0,326.0,171.0,430.0,50.0,27.0,58.0,0.1875,0.17485779959482625,5.004066172784492,3.81262184593104,0.01167054100369569,ok,
2,3,8,12,5,40,after_walk_step_5,0.4166666666666667,minterm,8,6,0.75,0.75,0.746875,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,276,144,372,162.0,188.0,84.0,438.0,228.0,560.0,162.0,84.0,188.0,0.5833333333333334,0.5585553997194951,1.3427495291902072,1.1935551370579611,0.013863875006791204,ok,
2,3,8,12,5,40,after_walk_step_5,0.4166666666666667,simplified_boolean,8,6,0.75,0.75,0.746875,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,9,276,144,372,21.0,30.0,13.0,297.0,157.0,402.0,21.0,13.0,30.0,0.09027777777777778,0.08233663186327983,9.108946808091163,8.09684160719214,0.010648916999343783,ok,
2,3,8,12,6,48,after_walk_step_6,0.5,minterm,8,4,0.5,0.5,0.4979166666666667,0.22222222222222202,0.33333333333333304,0.0,9,276,144,372,109.0,124.0,56.0,385.0,200.0,496.0,109.0,56.0,124.0,0.3888888888888889,0.37238325281803536,1.342702702702703,0.5967567567567563,0.01219933299580589,ok,
